code,stores,volume,AsstStoreMgr,StoreMgr,AreaMgr,DistrictMgr,RegionalMgr,TopStoreOps
"BRO",144,185018184,23784,35383,47700,93450,142500,170000
"CAM",375,450721171.9,16684,27367,33405,47707,75871,165000
"CAT",675,468668109.4,15250,24667,32617,41329,78500,208000
"COA",89,,29940,44931,50580,79304,75000,275000
"COU",750,818854218.8,17534,24156,29622,42829,85243,222000
"DRE",764,610755829.5,17243,26200,30500,40121,66134,180000
"FAM",620,601746580,15464,25061,32634,48305,84849,210000
"GAN",114,191321739.8,24653,32379,42940,47597,80136,155000
"GEN",1600,843404300,20106,20920,25857,42537,134350,159597
"MAU",669,476675921.8,17395,24651,25292,48516,91383,209700
"MOD",170,,15100,25500,32800,49300,79900,152500
"ONE",675,311443755.5,14004,20270,28391,39531,75415,110000
"PRI",150,61108401.56,15642,21357,30238,43350,69964,126959
"REC",504,,18726,26441,34797,45862,94732,310799
