code,stores,volume,employees,AsstStoreMgr,StoreMgr,DistrictMgr,RegionalMgr,TopStoreOps
"AME",314,3.264e+08,5775,10.05,30074,54284,91295,170000
"BIL",452,2.328e+08,2804,5.44,18422,38976,76600,132500
"BOM",373,3.363e+08,3951,9.37,30448,54840,89500,182000
"BRI",106,1.228e+08,1669,11.3,35593,58650,76216,200000
"CAR",372,1.655e+08,2576,7.57,26463,50057,79189,128146
"CHR",1135,1.200e+09,14000,7.67,31825,43700,95700,379800
"CMA",450,2.356e+08,2609,8.74,27000,46200,72100,140000
"DEB",276,2.000e+08,2426,7.08,21480,30223,47700,70000
"EDD",482,1.500e+09,3511,13.15,37301,81500,201128,401700
"FAM",805,7.813e+08,8034,7.73,26608,44978,79769,175000
"JLI",937,2.773e+08,2949,6.94,18600,43900,77300,126500
"LEC",478,3.368e+08,6639,9.62,31988,52454,136900,234200
"LIZ",113,1.611e+08,1356,12.97,46542,64550,105000,152500
"PET",311,2.750e+08,3400,7.35,25942,52553,285000,225000
"POT",265,8.120e+08,2250,13.53,40476,65298,113000,185000
"SIZ",557,3.631e+08,5371,7.36,23297,48917,107962,190000
"TAL",500,8.000e+08,7888,13.09,39143,67388,114019,185750
"WMS",265,8.120e+08,3660,11.46,34231,61617,123900,266000
"WOO",3012,3.115e+09,29850,8.9,39168,70158,109952,164932
