code,stores,volume,AsstStoreMgr,StoreMgr,AreaMgr,DistrictMgr,RegionalMgr,ZoneMgr,TopStoreOps
"BAK",333,267440625,14560,22600,,36700,56600,,91000
"BOM",377,339909467.6,17540,27500,,48100,86500,,184000
"CAR",353,157026975.6,14376,24532,,47312,74655,,124288
"CMA",400,209422225,16900,26400,,43500,72600,,123500
"EDD",335,1042531139,26700,35800,,68400,161700,,276800
"FLA",615,,19566,36080,,58693,87161,,140120
"FOO",1544,1538084261,19638,40209,,62637,96091,,151103
"JRI",370,295511553.8,17200,22742,,34800,60800,,140000
"LAN",824,1017749283,20300,30300,,56600,135700,,399000
"LEC",643,453059407.5,17860,25483,,47569,115291,,220500
"LIZ",118,168254916.8,26081,35200,,61230,96430,,155250
"MIL",207,470454540.8,21340,31300,,57200,152250,,260000
"PAR",168,,15100,27500,,49100,76700,,120000
"PET",528,466881030,15392,25369,,50356,119167,,225000
"POT",77,235939627,25403,36513,,54900,78500,,140000
"PRI",150,61108401.56,15642,21357,30238,43350,69964,,126959
"REC",504,,18726,26441,34797,45862,94732,,310799
"SCA",216,,13500,18850,,35400,67000,,118900
"TAL",451,721600000,25626,37910,,60348,113157,,255746
"WMS",179,548483029,22633,32401,,58100,92167,,145000
