"","Code","Stores","Volume","AsstToStoreVSStoreToDist","StoreToDistVSDistToReg","DistToRegVSRegToTop","avgNZNA"
"1","BAK",333,267440625,6060,5800,14500,8786.66666666667
"2","BIL",457,235332064.3,12878,16466,-6412,7644
"3","BOM",377,339909467.6,10640,17800,59100,29180
"4","BRI",90,104284541.3,13096,-1160,52156,21364
"5","CAR",353,157026975.6,12624,4563,22290,13159
"6","CHA",503,723848437.5,5808,-708,19630,8243.33333333333
"7","CMA",400,209422225,7600,12000,21800,13800
"8","EDD",335,1042531139,23500,60700,21800,35333.3333333333
"9","FLA",615,NA,6099,5855,24491,12148.3333333333
"10","FOO",1544,1538084261,1857,11026,21558,11480.3333333333
"11","JBA",2229,1442341320,17700,10200,79300,35733.3333333333
"12","JRI",370,295511553.8,6516,13942,53200,24552.6666666667
"13","KIN",551,NA,3236,-1714,3534,1685.33333333333
"14","LAN",824,1017749283,16300,52800,184200,84433.3333333333
"15","LEC",643,453059407.5,14463,45636,37487,32528.6666666667
"16","LIZ",118,168254916.8,16911,9170,23620,16567
"17","MIL",207,470454540.8,15940,69150,12700,32596.6666666667
"18","MUS",1220,1610394663,14471,23893,-26512,3950.66666666667
"19","PAR",168,NA,9200,6000,15700,10300
"20","PET",528,466881030,15010,43824,37022,31952
"21","POT",77,235939627,7277,5213,37900,16796.6666666667
"22","REE",100,NA,13340,-11615,28666,10130.3333333333
"23","REN",1100,NA,16635,-3924,35598,16103
"24","SCA",216,NA,11200,15050,20300,15516.6666666667
"25","STE",795,980844168.8,21740,46682,-46805,7205.66666666667
"26","TAL",451,721600000,10154,30371,89780,43435
"27","WMS",179,548483029,15931,8368,18766,14355
