"","Code","Stores","Volume","Employees","AsstToStore","StoreToArea","AreaToDist","DistToReg","RegToTop"
"1","AER",120,1.36e+08,1841,23553.4,11664,9250,26652,174267
"2","AMY",302,2.59e+08,4154,11616.8,7183,9497,23650,57250
"3","BRO",180,239800000,2126,10496,18900,24300,33167,147033
"4","CHI",180,192500000,2735,7200.6,17824,1318,56775,65800
"5","CMA",456,256900000,2770,9968,11000,10800,34600,54600
"6","DRE",698,5.8e+08,7146,9796,8588,8000,37500,172500
"7","GAN",115,161100000,2021,8034.4,4860,18985,34815,133200
"8","GEN",2300,1.2e+09,14165,-1361.6,5523,19362,68364,37879
"9","HIT",265,1.7e+08,2235,7261,4747,43200,32300,119500
"10","LIZ",111,134300000,1232,7436.4,18838,11690,27210,73200
"11","MAU",581,395700000,4677,7634,8635,15725,36417,141933
